
 year | tag                                   | last_date_applied
------+---------------------------------------+--------------------------
 2014 |                         2014-02-01_01 | 2014-03-16 22:01:15+0100
 2014 |                         2014-03-06_01 | 2014-03-16 22:01:15+0100
 2014 |                         2014-03-06_02 | 2014-03-16 22:01:15+0100
 2014 |                         2014-03-06_03 | 2014-03-16 22:01:15+0100
 2014 |                         2014-03-06_04 | 2014-03-16 22:01:15+0100
 2014 |                         2014-03-13_01 | 2014-03-16 22:01:15+0100
 2014 |                         2014-03-13_02 | 2014-03-16 22:01:15+0100
 2014 |                         2014-03-13_03 | 2014-03-16 22:01:15+0100
 2014 |                         2014-03-13_04 | 2014-03-16 22:01:30+0100
 2014 |                         2014-03-13_05 | 2014-03-16 22:01:43+0100
 2014 |                         2014-03-20_01 | 2014-03-18 05:22:00+0100
 2014 |                         2014-03-20_02 | 2014-03-18 05:25:11+0100
 2014 |                         2014-03-27_01 | 2014-03-20 23:57:47+0100
 2014 |                         2014-05-15_01 | 2014-05-06 00:48:52+0200
 2014 |                         2014-05-22_01 | 2014-12-12 21:14:29+0100
 2014 |                         2014-05-22_02 | 2014-12-12 21:14:35+0100
 2014 |                         2014-05-22_03 | 2014-12-12 21:14:38+0100
 2014 |                         2014-05-22_04 | 2014-12-12 21:14:42+0100
 2014 |                         2014-05-22_05 | 2014-12-12 21:14:44+0100
 2014 |                         2014-05-22_06 | 2014-12-12 21:14:47+0100
 2014 |                         2014-05-22_07 | 2014-12-12 21:14:49+0100
 2014 |                         2014-05-22_08 | 2014-12-12 21:15:25+0100
 2014 |                         2014-05-22_09 | 2014-12-12 21:17:06+0100
 2014 |                         2014-05-22_10 | 2014-12-12 21:17:11+0100
 2014 |                         2014-05-22_11 | 2014-12-12 21:17:11+0100
 2014 |                         2014-05-22_12 | 2014-12-12 21:17:12+0100
 2014 |                 2014-06-26_1403539692 | 2014-12-12 21:17:17+0100
 2014 |                 2014-06-26_1403539897 | 2014-12-12 21:17:23+0100
 2014 |                 2014-06-26_1403539936 | 2014-12-12 21:17:28+0100
 2014 |                 2014-06-26_1403540007 | 2014-12-12 21:17:30+0100
 2014 |                 2014-06-26_1403540061 | 2014-12-12 21:17:33+0100
 2014 |                 2014-06-26_1403540136 | 2014-12-12 21:17:36+0100
 2014 |                 2014-06-26_1403540167 | 2014-12-12 21:17:38+0100
 2014 |                 2014-06-26_1403540214 | 2014-12-12 21:17:40+0100
 2014 |                 2014-06-26_1403540241 | 2014-12-12 21:17:43+0100
 2014 |                 2014-06-26_1403540269 | 2014-12-12 21:17:47+0100
 2014 |                 2014-06-26_1403540311 | 2014-12-12 21:17:49+0100
 2014 |                 2014-08-28_1408842675 | 2014-12-12 21:17:52+0100
 2014 |                 2014-09-04_1409172941 | 2014-12-12 21:17:56+0100
 2014 |                 2014-09-11_1409887522 | 2014-12-12 21:17:58+0100
 2014 |                 2014-09-11_1409887588 | 2014-12-12 21:18:00+0100
 2014 |                 2014-09-18_1409776262 | 2014-12-12 21:18:06+0100
 2014 |                 2014-09-18_1409776363 | 2014-12-12 21:18:37+0100
 2014 |                 2014-09-25_1409803172 | 2014-12-12 21:18:43+0100
 2014 |                 2014-09-25_1409806812 | 2014-12-12 21:18:44+0100
 2014 |                 2014-09-25_1409809400 | 2014-12-12 21:18:44+0100
 2014 |                 2014-09-25_1409809427 | 2014-12-12 21:18:49+0100
 2014 |                 2014-10-02_1411100606 | 2014-12-12 21:18:52+0100
 2014 | 2014-10-02_14111607921_DEVELOPER_ONLY | 2014-12-12 21:19:23+0100
 2014 | 2014-10-02_14111608017_DEVELOPER_ONLY | 2014-12-12 21:19:27+0100
 2014 |                 2014-10-09_1411332983 | 2014-12-12 21:21:42+0100
 2014 |                 2014-10-09_1411332996 | 2014-12-12 21:21:48+0100
 2014 |                 2014-10-09_1411606185 | 2014-12-12 21:21:48+0100
 2014 |                 2014-10-09_1411667461 | 2014-12-12 21:22:02+0100
 2014 |                 2014-10-16_1412797070 | 2014-12-12 21:22:02+0100
 2014 |                 2014-10-16_1413489173 | 2014-12-12 21:22:03+0100
 2014 |                 2014-10-30_1414109606 | 2014-12-12 21:22:04+0100
 2014 |                 2014-11-20_1415645860 | 2014-12-12 21:22:11+0100
 2014 |                 2014-11-20_1416511716 | 2014-12-12 21:22:14+0100
 2014 |                 2014-12-04_1416943808 | 2014-12-12 21:22:16+0100
 2014 |                 2014-12-11_1417731402 | 2014-12-12 21:22:19+0100
 2014 |                 2014-12-11_1417795426 | 2014-12-12 21:22:21+0100
 2014 |                 2014-12-11_1418250089 | 2014-12-12 21:22:31+0100
 2014 |                 2014-12-18_1418147627 | 2014-12-12 21:22:34+0100

